n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,16.267666570522067,82.74722442416453,16.267666570522067,19.133684777118663,2968
2,16.267666570522067,82.74722442416453,16.267666570522067,19.133684777118663,2968
3,75.42543986155177,85.23795564499115,75.42543986155177,79.93411179347257,2968
4,74.47360830689357,85.24968751172058,74.47360830689357,79.37321276677652,2968
5,74.04095760023075,85.31590053257456,74.04095760023075,79.13105708041608,2968
6,74.21401788289587,85.33476566409371,74.21401788289587,79.24042550464786,2968
7,74.24286126334006,85.3001939465006,74.24286126334006,79.24856580894041,2968
8,74.06980098067494,85.31904685577865,74.06980098067494,79.14929780677711,2968
9,73.98327083934237,85.34725941545393,73.98327083934237,79.10437512220804,2968
10,63.397750216325356,85.1574505648297,63.397750216325356,72.08751658645363,2968
11,63.397750216325356,85.08007822067924,63.397750216325356,72.08313744772889,2968
12,63.65734064032304,85.15183776308206,63.65734064032304,72.27319390415119,2968
13,75.13700605710989,85.20721925462152,75.13700605710989,79.75516786167331,2968
14,52.81222959330834,85.34072873913107,52.812229593308345,63.75435750241771,2968
15,55.581194115950396,85.22794296238425,55.581194115950396,66.08794529611495,2968
16,54.687049322180556,85.26901924468528,54.687049322180556,65.34677646375154,2968
17,54.16786847418518,85.19191773567091,54.16786847418518,64.91905809659568,2968
18,15.806172483415057,82.68776683895045,15.806172483415057,18.309765203959515,2968
19,16.902220940294203,82.44008702432775,16.902220940294203,20.333444392836675,2968
20,25.41101817132968,85.12380656600263,25.41101817132968,33.267829448413785,2968
21,23.47851168156908,85.00665302013583,23.47851168156908,30.45324125013505,2964
22,23.680415344678394,85.205180049967,23.680415344678394,30.70703968817551,2527
23,24.257282953562157,87.80092504477798,24.257282953562157,30.950285203391626,2968
24,18.575137006057112,86.68150971267713,18.575137006057112,22.32554648966426,2968
25,18.02711277761754,86.9517137017559,18.02711277761754,21.3581366377955,2968
26,14.10441303720796,86.7629876173802,14.10441303720796,14.503600729952884,2968
27,13.267955004326506,86.98360500808266,13.267955004326506,12.924485561631752,2968
28,14.017882895875397,85.25903428162923,14.017882895875397,14.563402405532514,2968
29,14.998557830977791,87.42598282929761,14.998557830977791,16.02733820976128,2968
30,21.08451110470147,85.43202576866652,21.08451110470147,26.66075201098167,2968
31,60.744159215460044,85.96915845072036,60.744159215460044,70.14313681700595,2968
32,46.35131237381021,86.00645047744791,46.35131237381021,57.7656256737328,2964
33,45.111047014710124,86.01114618260772,45.111047014710124,56.55146237517188,2964
34,45.77444476492645,85.80493056179304,45.77444476492645,57.2394688562997,2964
35,35.881165272569945,85.58523713737985,35.881165272569945,46.72726725843667,2964
36,32.44880299971157,85.4635086587515,32.44880299971157,42.615433606710255,2964
37,32.44880299971157,85.4635086587515,32.44880299971157,42.615433606710255,2964
38,32.391116238823194,85.75709562834678,32.391116238823194,42.47022562634886,2964
39,33.68906835881165,86.00134825984783,33.68906835881165,44.011840895509486,2964
40,34.26593596769541,85.69729623501959,34.26593596769541,44.784911549983946,2964
41,30.31439284684165,86.02504567119018,30.31439284684165,39.75457527807764,2964
42,42.745889818286706,85.58937010341828,42.745889818286706,54.24650189423102,2968
43,39.65964811075858,85.50746441506641,39.65964811075858,51.001442219711656,2968
44,43.29391404672628,85.6354819250697,43.29391404672628,54.79813133306302,2968
45,40.005768676088834,85.51799457813512,40.005768676088834,51.37416761336725,2968
46,43.120853764061145,85.54809950540256,43.120853764061145,54.63866743238359,2968
47,63.253533314104416,85.56752089483837,63.253533314104416,72.00370470588469,2892
48,52.841072973752524,85.47979234960883,52.841072973752524,63.765361104193005,2968
49,74.30054802422845,85.79570715028615,74.30054802422845,79.41140873057073,2892
50,74.4159215460052,85.84601047622,74.4159215460052,79.4945260251745,2892
51,71.64695702336313,85.94906714951951,71.64695702336313,77.78055373195802,2102
52,70.11825785982117,85.43806629953112,70.11825785982117,76.70320911009505,2964
53,70.7816556100375,85.47656960049171,70.7816556100375,77.13766918686146,2964
54,69.74329391404672,85.6198838202829,69.74329391404672,76.48906656353687,2893
55,72.19498125180272,85.33702337950557,72.19498125180272,78.00331788663749,2968
56,71.27199307758869,85.19574427041806,71.27199307758869,77.39461625846364,2968
57,71.56042688203057,85.22833491559858,71.56042688203057,77.58284856530389,2968
58,70.60859532737237,85.15764790388253,70.60859532737237,76.96682019620066,2968
59,70.14710124026536,85.02996972362806,70.14710124026536,76.6481990432918,2968
60,65.27256994519757,85.08636146263233,65.27256994519757,73.40674681844645,2968
61,59.82117104124603,84.96020647969867,59.82117104124603,69.44124998627436,2968
62,59.994231323911166,84.98384137026831,59.994231323911166,69.5725290907482,2968
63,59.87885780213441,85.04806058437575,59.87885780213441,69.48518028265758,2968
64,59.6769541390251,85.18126595733318,59.6769541390251,69.33109041892097,2968
65,58.6962792039227,85.08735843799943,58.6962792039227,68.57709043518709,2968
66,57.600230747043554,85.30480415936329,57.60023074704355,67.71154550084952,2968
67,57.744447649264494,85.28341142241072,57.744447649264494,67.82651725040394,2968
68,62.41707528122296,85.38305736517464,62.41707528122296,71.38580429459739,2964
69,69.28179982693972,85.41635685359748,69.28179982693972,76.15433194522933,2968
70,73.52177675223535,85.18390144472346,73.52177675223535,78.78270124201556,2968
71,73.11796942601673,85.17717725923494,73.11796942601673,78.53538803366767,2968
72,73.86789731756562,85.10859790032166,73.86789731756562,78.97189125861493,2968
73,73.31987308912605,85.08658818928068,73.31987308912605,78.63540861979219,2968
74,73.1756561869051,85.18352388759907,73.1756561869051,78.57215374399499,2968
75,69.59907701182578,85.34069574547418,69.59907701182578,76.34955916007473,2968
76,69.82982405537929,85.40484298909051,69.82982405537929,76.51039565643916,2968
77,64.40726853187194,85.59398104021282,64.40726853187194,72.83594872157236,2968
78,64.63801557542544,85.50633618503002,64.63801557542544,72.9944278503318,2968
79,64.66685895586963,85.54851902123322,64.66685895586963,73.01776892735182,2968
80,59.38852033458322,86.04264370062197,59.38852033458322,69.09629967602257,2968
81,57.888664551485434,86.18486335463335,57.888664551485434,67.90547911980275,2968
82,57.54254398615518,86.22520698714311,57.54254398615518,67.6254167006759,2968
83,54.31208537640612,86.59581858588213,54.31208537640612,64.91918525147408,2968
84,54.71589270262475,86.60378381643919,54.71589270262475,65.2619266065391,2968
85,54.71589270262475,86.51304280730595,54.71589270262475,65.26985539894386,2968
86,54.71589270262475,86.51304280730595,54.71589270262475,65.26985539894386,2968
87,54.48514565907124,86.57318933759633,54.48514565907124,65.06868623698828,2968
88,57.85982117104125,85.67416275526718,57.85982117104125,67.90376416402113,2968
89,58.14825497548313,85.71304121786835,58.14825497548313,68.1311047015841,2968
90,58.14825497548313,85.71304121786835,58.14825497548313,68.1311047015841,2968
91,57.77329102970869,85.74641157671908,57.77329102970869,67.83205052398587,2968
92,57.13873665993654,85.82986025073222,57.13873665993654,67.31965188549681,2968
93,59.359676954139026,85.34065255286862,59.359676954139026,69.08624844944194,2968
94,59.705797519469286,85.34665433533661,59.705797519469286,69.35221624920193,2968
95,59.417363715027406,85.34842957245057,59.417363715027406,69.13060175221055,2968
96,59.994231323911166,85.66900929997942,59.994231323911166,69.57098003221414,2968
97,59.96538794346697,85.70598989292256,59.96538794346697,69.54850147039562,2968
98,59.792327660801845,85.68335288289491,59.792327660801845,69.41558936406803,2968
99,60.02307470435535,85.71351468645996,60.02307470435535,69.59274621404734,2968
100,59.648110758580906,85.70533292477394,59.648110758580906,69.30406939504203,2968
101,59.59042399769253,85.65682302633044,59.59042399769253,69.26018672083907,2968
102,59.850014421690226,85.69090903595492,59.850014421690226,69.4599230910151,2968
103,60.224978367464665,85.69910537618371,60.224978367464665,69.74760644882197,2968
104,60.080761465243725,85.6396504207292,60.080761465243725,69.63755046378017,2968
105,58.29247187770407,85.48305944347273,58.29247187770405,68.2523358589971,2968
106,58.090568214594754,85.53854346644022,58.090568214594754,68.09145168582451,2968
107,58.35015863859244,85.57374194133727,58.35015863859244,68.29500824989829,2968
108,58.9270262474762,85.65112736684053,58.9270262474762,68.7451212632501,2968
109,59.15777329102971,85.64062206090787,59.15777329102971,68.92514195176106,2968
110,58.869339486587826,85.76752029030798,58.869339486587826,68.69715307413557,2968
111,58.725122584366886,85.74841506955705,58.725122584366886,68.58461773799421,2968
112,58.37900201903663,85.74393628366353,58.37900201903663,68.31241692274868,2968
113,60.16729160657629,85.97744887622063,60.16729160657629,69.70103839360539,2968
114,60.16729160657629,85.97744887622063,60.16729160657629,69.70103839360539,2968
115,57.39832708393424,86.1634524900846,57.39832708393424,67.51220094442567,2968
116,56.87914623593885,86.26767992183744,56.87914623593886,67.08533145590164,2968
117,57.02336313815979,86.28659332207069,57.02336313815979,67.20168280730867,2968
118,58.14825497548313,86.51741049722669,58.14825497548313,68.09848728202881,2968
119,59.9077011825786,86.23323171267111,59.9077011825786,69.49651348849034,2968
120,59.936544563022785,86.31991118415682,59.936544563022785,69.51726702850891,2968
121,59.96538794346697,86.32351797257559,59.96538794346697,69.53961654593527,2968
122,59.994231323911166,86.3271223662901,59.994231323911166,69.56195863639424,2968
123,59.6769541390251,86.370811991968,59.6769541390251,69.31384491925904,2968
124,59.648110758580906,86.36720382535717,59.648110758580906,69.29139224150629,2968
125,59.359676954139026,86.37293435741059,59.359676954139026,69.06528388336694,2968
126,59.359676954139026,86.37293435741059,59.359676954139026,69.06528388336694,2968
127,59.359676954139026,86.37293435741059,59.359676954139026,69.06528388336694,2968
128,59.24430343236228,86.3584256148957,59.24430343236228,68.97503948912755,2968
129,59.24430343236228,86.3584256148957,59.24430343236228,68.97503948912755,2968
130,59.24430343236228,86.3584256148957,59.24430343236228,68.97503948912755,2968
131,58.43668877992501,86.34056327166061,58.43668877992501,68.33657828067086,2968
132,58.55206230170176,86.39771880096005,58.55206230170176,68.42614601280468,2968
133,58.580905682145946,86.31654234297001,58.580905682145946,68.45218706942215,2968
134,58.234785116815694,86.35733638987125,58.234785116815694,68.17484494243172,2968
135,60.8595327372368,86.10600032196442,60.8595327372368,70.23076786122517,2968
136,63.31122007499279,85.92863995286505,63.31122007499279,72.06033200125783,2968
137,63.13815979232766,85.9073549906972,63.13815979232766,71.93279136928423,2968
138,60.513412171906545,85.73649490451763,60.513412171906545,69.96772816673737,2968
139,59.705797519469286,85.79484236739225,59.705797519469286,69.34736927483613,2968
140,58.955869627920386,85.737568372222,58.955869627920386,68.76559829773868,2968
141,59.417363715027406,85.71602914473574,59.417363715027406,69.12532132486099,2968
142,58.75396596481107,85.71078315823738,58.75396596481107,68.60825733408585,2968
143,59.013556388808766,85.70389037656474,59.013556388808766,68.8114432303102,2968
144,59.04239976925295,85.62528164869639,59.04239976925295,68.83566585822581,2968
145,60.34035188924142,85.87689158633289,60.34035188924142,69.83485851299403,2968
146,60.369195269685605,85.88059202811529,60.369195269685605,69.85693232459099,2968
147,58.60974906259013,85.69156739847155,58.60974906259013,68.49564152006249,2968
148,58.14825497548313,85.75484705571921,58.14825497548313,68.12962783288043,2968
149,58.75396596481107,85.79375527248044,58.75396596481107,68.6059954167359,2968
150,57.600230747043554,85.6809463470933,57.60023074704355,67.69673442651575,2968
151,57.31179694260168,85.64162174552865,57.31179694260168,67.46775427697362,2968
152,59.96538794346697,85.58387779863651,59.96538794346697,69.54951670605783,2968
153,61.03259301990194,85.40180586231443,61.03259301990194,70.35878218643235,2968
154,60.94606287856937,85.47043276911957,60.94606287856937,70.29446950926382,2968
155,52.841072973752524,85.79673330269443,52.84107297375253,63.733316712609934,2968
156,52.6680126910874,85.81698455725326,52.6680126910874,63.58130882207694,2968
157,52.783386212864144,85.87959134051019,52.783386212864144,63.67483561926096,2968
