n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,7.326218632823767,0.5367347945593414,7.326218632823767,1.000193245222917,2968
2,7.326218632823767,0.5367347945593414,7.326218632823767,1.000193245222917,2968
3,14.88318430920104,93.25439276584619,14.88318430920104,15.050358486029152,2968
4,61.75367753100664,86.29817136090406,61.75367753100664,70.91001212832445,2528
5,61.75367753100664,86.29817136090406,61.75367753100664,70.91001212832445,2528
6,76.83876550331699,84.9997759662549,76.83876550331699,80.67426199022245,2968
7,71.53158350158638,85.00073069589693,71.53158350158638,77.51591127235777,2968
8,71.012402653591,84.94208881364362,71.012402653591,77.17864983676891,2968
9,71.21430631670032,84.92757501504863,71.21430631670032,77.30202084563665,2968
10,76.00230747043554,84.91466122913522,76.00230747043554,80.16825321735112,2968
11,76.0888376117681,84.92351183945452,76.0888376117681,80.22080073879663,2968
12,75.65618690510529,84.91764079643282,75.65618690510529,79.96987281312387,2968
13,72.10845111047016,85.14021718651814,72.10845111047016,77.90557830286372,2968
14,72.10845111047016,85.17764672689991,72.10845111047016,77.9140158180668,2968
15,72.2238246322469,85.22796800077016,72.2238246322469,77.99697198103182,2968
16,78.7135852321892,84.94563140035784,78.7135852321892,81.69978520038951,2968
17,78.85780213441015,84.87777957148013,78.85780213441015,81.75180714266158,2964
18,78.85780213441015,84.87777957148013,78.85780213441015,81.75180714266158,2964
19,79.00201903663108,84.93211823391219,79.00201903663108,81.85197309435117,2862
20,79.17507931929623,84.82478487925934,79.17507931929623,81.90261746712774,0
21,79.75194692817999,84.87678220610874,79.75194692817999,82.23459739417277,0
22,79.60773002595904,84.94710840891175,79.60773002595904,82.18625547199547,2893
23,77.90597057975195,84.98806742143191,77.90597057975195,81.269997045382,2968
24,77.58869339486589,84.99640242890759,77.58869339486589,81.09589842526573,2968
25,77.58869339486589,84.99640242890759,77.58869339486589,81.09589842526573,2968
26,77.35794635131238,85.01284272425964,77.35794635131238,80.97225461049104,2968
27,75.05047591577733,85.61458992789963,75.05047591577733,79.81887547656927,2968
28,75.6273435246611,85.6774961052932,75.6273435246611,80.18149267417375,2968
29,75.42543986155177,85.65549290281302,75.42543986155177,80.05478877247307,2968
30,75.42543986155177,85.65549290281302,75.42543986155177,80.05478877247307,2968
31,75.6273435246611,85.60171456077195,75.6273435246611,80.15987579657067,2968
32,73.29102970868185,85.5714464812998,73.29102970868185,78.73668542143612,2968
33,72.19498125180272,85.52411451801642,72.19498125180272,78.04384828452316,2968
34,72.19498125180272,85.52411451801642,72.19498125180272,78.04384828452316,2968
35,71.93539082780502,85.45755447930775,71.93539082780502,77.86668656024027,2968
36,72.39688491491204,85.32215850383567,72.39688491491204,78.12565610625934,2968
37,72.39688491491204,85.32215850383567,72.39688491491204,78.12565610625934,2968
38,72.28151139313528,85.42155226106566,72.28151139313528,78.07587432475874,2968
39,72.28151139313528,85.42155226106566,72.28151139313528,78.07587432475874,2968
40,68.18575137006057,85.43850192356574,68.18575137006057,75.43157484815099,2968
41,66.71473896740699,85.414714269183,66.71473896740699,74.43367212250152,2968
42,66.51283530429767,85.39039268681249,66.51283530429767,74.29273364345269,2968
43,67.00317277184887,85.52521268379328,67.00317277184887,74.64289729625278,2968
44,64.81107585809058,85.45054063407413,64.81107585809058,73.1130317804937,2968
45,64.81107585809058,85.45054063407413,64.81107585809058,73.1130317804937,2968
46,64.63801557542544,85.42916694472005,64.63801557542544,72.98908194025205,2968
47,64.37842515142775,85.43559260440985,64.37842515142775,72.80526982136493,2968
48,64.37842515142775,85.43559260440985,64.37842515142775,72.80526982136493,2968
49,66.83011248918373,85.58058489223691,66.83011248918373,74.53035310017894,2968
50,66.83011248918373,85.58058489223691,66.83011248918373,74.53035310017894,2968
51,66.77242572829536,85.53564540760438,66.77242572829536,74.4860580620923,2968
52,66.8877992500721,85.54943661903886,66.8877992500721,74.56659930384035,2968
53,65.67637727141621,85.44145569045749,65.67637727141621,73.71935780699008,2968
54,65.27256994519757,85.43040620898192,65.27256994519757,73.43626534766085,2968
55,65.41678684741852,85.40974575326261,65.41678684741852,73.53549863902873,2968
56,65.38794346697433,85.40621278558905,65.38794346697433,73.5150379754159,2968
57,65.58984713008364,85.43090295597513,65.58984713008364,73.65812866422712,2968
58,65.58984713008364,85.43090295597513,65.58984713008364,73.65812866422712,2968
59,65.56100374963945,85.42738156312278,65.56100374963945,73.63770624667902,2968
60,65.44563022786271,85.41327677873784,65.44563022786271,73.55595291469399,2968
61,67.58004038073263,85.51799029766599,67.58004038073263,75.03429693286385,2968
62,67.58004038073263,85.44234235492068,67.58004038073263,75.0250904365075,2968
63,67.78194404384193,85.42851296212359,67.78194404384193,75.15945072591764,2968
64,62.99394289010672,85.57414197685908,62.99394289010672,71.814940914105,2968
65,62.99394289010672,85.57414197685908,62.99394289010672,71.814940914105,2968
66,62.38823190077877,85.41868895477704,62.38823190077877,71.36583237362443,2968
67,62.38823190077877,85.41868895477704,62.38823190077877,71.36583237362443,2968
68,62.38823190077877,85.41868895477704,62.38823190077877,71.36583237362443,2968
69,62.84972598788578,85.43823726544012,62.84972598788578,71.7043185200497,2968
70,62.763195846553224,85.46647256568548,62.763195846553224,71.64225066140008,2968
71,62.96509950966254,85.49204186675972,62.96509950966254,71.79061013070834,2968
72,62.96509950966254,85.49204186675972,62.96509950966254,71.79061013070834,2968
73,68.93567926160947,85.52634954465518,68.93567926160947,75.94283482337484,2968
74,69.36832996827228,85.57658772475678,69.36832996827228,76.23601319208525,2968
75,69.33948658782809,85.57324807291806,69.33948658782809,76.21650794474445,2968
76,68.47418517450245,85.62318985829056,68.47418517450245,75.6492735453841,2968
77,68.87799250072109,85.59489738229945,68.87799250072109,75.91448956542563,2968
78,68.87799250072109,85.59489738229945,68.87799250072109,75.91448956542563,2968
79,67.17623305451399,85.7358884491907,67.17623305451399,74.7840979155178,2968
80,66.6858955869628,85.48724578299782,66.6858955869628,74.42161585384959,2968
81,67.46466685895587,85.39082171979176,67.46466685895587,74.94085165694231,2968
82,68.01269108739544,85.45580102990714,68.01269108739544,75.31797693438011,2968
83,68.30112489183733,85.48976928365926,68.30112489183733,75.51560075606326,2968
84,68.07037784828381,85.46260714266452,68.07037784828381,75.35754901234168,2968
85,68.53187193539083,85.51683383582727,68.53187193539083,75.67327612713612,2968
86,68.53187193539083,85.51683383582727,68.53187193539083,75.67327612713612,2968
87,68.50302855494664,85.51345600714622,68.50302855494664,75.65358719093939,2968
88,68.8203057398327,85.55053161081845,68.8203057398327,75.86984543116321,2968
89,68.8203057398327,85.55053161081845,68.8203057398327,75.86984543116321,2968
90,68.8203057398327,85.55053161081845,68.8203057398327,75.86984543116321,2968
91,69.36832996827228,85.57658772475678,69.36832996827228,76.23601319208525,2968
92,69.36832996827228,85.6141696271676,69.36832996827228,76.24173949789616,2968
93,69.36832996827228,85.6141696271676,69.36832996827228,76.24173949789616,2968
94,69.36832996827228,85.6141696271676,69.36832996827228,76.24173949789616,2968
95,71.27199307758869,85.68199460841444,71.27199307758869,77.49022440280979,2968
96,71.27199307758869,85.68199460841444,71.27199307758869,77.49022440280979,2968
97,71.09893279492357,85.66237672951448,71.09893279492357,77.37560344692822,2968
98,71.61811364291894,85.72112431234532,71.61811364291894,77.71889244679777,2968
99,71.84886068647246,85.67228958535459,71.84886068647246,77.85605024661739,2968
100,72.80069224113066,85.59184211453368,72.80069224113066,78.4373179297076,2967
101,71.09893279492357,85.55008337704594,71.09893279492357,77.35462334499539,2968
102,70.92587251225844,85.53041511280527,70.92587251225844,77.2401280184667,2968
103,70.0605710989328,85.54384058459263,70.0605710989328,76.6837792251457,2968
104,69.71445053360253,85.61656107065258,69.71445053360253,76.4696347155537,2968
105,69.71445053360253,85.57902106639422,69.71445053360253,76.46366168524584,2968
106,72.31035477357946,85.61188605876784,72.31035477357946,78.13495264848781,2968
107,72.07960773002597,85.58599521956299,72.07960773002597,77.98432482823276,2968
108,72.07960773002597,85.58599521956299,72.07960773002597,77.98432482823276,2968
109,72.10845111047016,85.58923476441385,72.10845111047016,78.00317153520281,2968
110,72.10845111047016,85.58923476441385,72.10845111047016,78.00317153520281,2968
111,72.33919815402365,85.61511839362699,72.33919815402365,78.15375776108522,2968
112,72.33919815402365,85.61511839362699,72.33919815402365,78.15375776108522,2968
113,77.35794635131238,85.94254415584291,77.35794635131238,81.28259061995642,2968
114,77.300259590424,85.89798191668405,77.300259590424,81.23490295274611,2968
115,77.67522353619844,85.7467219982611,77.67522353619844,81.40419749784999,2968
116,77.67522353619844,85.7467219982611,77.67522353619844,81.40419749784999,2968
117,77.67522353619844,85.7467219982611,77.67522353619844,81.40419749784999,2968
118,76.89645226420537,85.73928084767604,76.89645226420537,80.94924068709699,2968
119,76.89645226420537,85.73928084767604,76.89645226420537,80.94924068709699,2968
120,76.7810787424286,85.72677739991146,76.7810787424286,80.87783705010301,2968
121,77.44447649264494,85.76028830733483,77.44447649264494,81.27509109991432,2968
122,77.87712719930776,85.80715038575349,77.87712719930776,81.54067116625234,2968
123,78.22324776463802,85.80596522783573,78.22324776463802,81.73933763924649,2968
124,78.22324776463802,85.80596522783573,78.22324776463802,81.73933763924649,2968
125,78.22324776463802,85.80596522783573,78.22324776463802,81.73933763924649,2968
126,78.22324776463802,85.80596522783573,78.22324776463802,81.73933763924649,2968
127,78.0213441015287,85.78411817408626,78.0213441015287,81.61603823182507,2968
128,78.0213441015287,85.78411817408626,78.0213441015287,81.61603823182507,2968
129,77.84828381886358,85.76541230638352,77.84828381886358,81.51019275153625,2968
130,77.06951254687048,86.13927911336796,77.06951254687048,81.17266445162682,2968
131,83.3285261032593,86.34452842073618,83.3285261032593,84.78142839666245,2968
132,83.18430920103836,86.41092089234556,83.18430920103836,84.73301463183576,2968
133,83.90539371214307,86.45984961570157,83.90539371214307,85.14052719636315,2968
134,81.45370637438708,86.44534023820954,81.45370637438708,83.79881508980634,2968
135,81.36717623305452,86.3951041014194,81.36717623305452,83.73102912852029,2968
136,81.22295933083358,86.49734773200264,81.22295933083358,83.68984991495125,2968
137,81.22295933083358,86.49734773200264,81.22295933083358,83.68984991495125,2968
138,75.02163253533314,85.61144095745993,75.02163253533314,79.80069533621248,2968
139,74.99278915488895,85.60829157348736,74.99278915488895,79.78251045344433,2968
140,75.48312662244015,85.6617808376129,75.48312662244015,80.09101302685659,2968
141,75.48312662244015,85.6617808376129,75.48312662244015,80.09101302685659,2968
142,75.59850014421691,85.63648050437321,75.59850014421691,80.1526543359877,2968
143,75.59850014421691,85.63648050437321,75.59850014421691,80.1526543359877,2968
144,75.39659648110758,85.6145163511868,75.39659648110758,80.02607103063272,2968
145,74.4159215460052,85.92109717435254,74.4159215460052,79.51308913054666,2968
146,74.47360830689357,85.9274845861865,74.47360830689357,79.55005244282279,2968
147,74.9062590135564,86.01294189033489,74.9062590135564,79.83621678862146,2968
148,74.9062590135564,86.01294189033489,74.9062590135564,79.83621678862146,2968
149,74.67551197000289,85.87469478145765,74.67551197000289,79.66035627194972,2968
150,74.06980098067494,85.92025019594787,74.06980098067494,79.29987196268445,2968
151,74.06980098067494,85.92025019594787,74.06980098067494,79.29987196268445,2968
152,73.75252379578887,85.95997410705253,73.75252379578887,79.11271506556167,2968
153,73.75252379578887,85.95997410705253,73.75252379578887,79.11271506556167,2968
154,73.75252379578887,85.99743863933813,73.75252379578887,79.1212871438725,2968
155,70.98355927314681,86.09929782593815,70.98355927314681,77.37782660690698,2968
156,70.98355927314681,86.09929782593815,70.98355927314681,77.37782660690698,2968
157,70.92587251225844,86.20555158517831,70.92587251225844,77.35765843829178,2968
158,70.89702913181425,86.20229914935129,70.89702913181425,77.33824848197777,2968
159,70.89702913181425,86.20229914935129,70.89702913181425,77.33824848197777,2968
