n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,48.20717131474104,92.21632833744387,48.20717131474104,62.70773492661411,249
2,48.20717131474104,92.21632833744387,48.20717131474104,62.70773492661411,249
3,10.95617529880478,82.7879371268232,10.95617529880478,16.93158141180403,249
4,90.43824701195219,94.3519479251777,90.43824701195219,92.27529647491905,245
5,90.2390438247012,94.07024039847583,90.2390438247012,92.06504735181055,249
6,92.82868525896414,93.59904779223356,92.82868525896414,93.21227486747226,0
7,94.22310756972112,93.64505169506025,94.22310756972112,93.93319031566043,0
8,94.22310756972112,93.64505169506025,94.22310756972112,93.93319031566043,0
9,88.44621513944223,94.23978096424874,88.44621513944223,91.1380011867424,208
10,83.86454183266933,94.5312271600561,83.86454183266933,88.57391348631208,218
11,83.66533864541833,94.27065670130791,83.66533864541833,88.41045252493551,218
12,85.65737051792829,95.36572058021144,85.65737051792829,89.78251345550707,222
13,82.47011952191235,95.23172133599988,82.47011952191235,87.8369598528961,222
14,79.08366533864542,95.10470054530589,79.08366533864542,85.72192888451995,222
15,78.88446215139442,95.0974831377748,78.88446215139442,85.59565685068358,222
16,78.28685258964143,95.60155084555197,78.28685258964143,85.2467939978734,222
17,79.4820717131474,95.64004952625321,79.4820717131474,86.01237106518877,222
18,78.08764940239044,95.59522805864623,78.08764940239044,85.11842438378855,222
19,79.4820717131474,95.64004952625321,79.4820717131474,86.01237106518877,222
20,79.2828685258964,95.63355901455279,79.2828685258964,85.8853150448061,222
21,79.08366533864542,95.62710011554036,79.08366533864542,85.75804631304135,222
22,87.84860557768924,94.20962296633213,87.84860557768924,90.79553018750592,204
23,86.65338645418326,93.89648240473129,86.65338645418326,90.04005715284778,163
24,78.68525896414343,96.14468314809518,78.68525896414343,85.53073454196122,249
25,78.68525896414343,96.14468314809518,78.68525896414343,85.53073454196122,249
26,79.08366533864542,96.15571429050502,79.08366533864542,85.78819605299731,249
27,79.2828685258964,96.1612889102929,79.2828685258964,85.91660754243303,249
28,74.9003984063745,95.4964262058466,74.9003984063745,83.03210188272678,249
29,71.71314741035857,95.39937832171391,71.71314741035857,80.87914609413728,249
30,71.91235059760956,95.40545439222535,71.91235059760956,81.01580107808635,249
31,71.91235059760956,95.40545439222535,71.91235059760956,81.01580107808635,249
32,73.30677290836654,95.44789467706495,73.30677290836654,81.96443256766669,249
33,73.30677290836654,95.44789467706495,73.30677290836654,81.96443256766669,249
34,73.30677290836654,95.44789467706495,73.30677290836654,81.96443256766669,249
35,73.30677290836654,95.44789467706495,73.30677290836654,81.96443256766669,249
36,72.50996015936255,95.42365748274507,72.50996015936255,81.42404795040147,249
37,75.2988047808765,94.96943103163385,75.2988047808765,83.28258394991462,249
38,75.2988047808765,94.96943103163385,75.2988047808765,83.28258394991462,249
39,75.2988047808765,94.96943103163385,75.2988047808765,83.28258394991462,249
40,75.2988047808765,94.96943103163385,75.2988047808765,83.28258394991462,249
41,75.2988047808765,94.96943103163385,75.2988047808765,83.28258394991462,249
42,75.2988047808765,94.96943103163385,75.2988047808765,83.28258394991462,249
43,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
44,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
45,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
46,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
47,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
48,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
49,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
50,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
51,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
52,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
53,73.10756972111554,95.16544759866643,73.10756972111554,81.82964554307826,249
54,75.0996015936255,95.50251308915263,75.0996015936255,83.1643679387064,249
55,77.09163346613546,95.56393641267478,77.09163346613546,84.47312060202272,249
56,77.09163346613546,95.56393641267478,77.09163346613546,84.47312060202272,249
57,77.09163346613546,95.56393641267478,77.09163346613546,84.47312060202272,249
58,71.91235059760956,96.54959203208142,71.91235059760956,80.99279316846635,249
59,71.91235059760956,96.54959203208142,71.91235059760956,80.99279316846635,249
60,71.91235059760956,96.54959203208142,71.91235059760956,80.99279316846635,249
61,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
62,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
63,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
64,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
65,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
66,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
67,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
68,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
69,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
70,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
71,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
72,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
73,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
74,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
75,72.70916334661355,95.70955517975239,72.70916334661355,81.55748410474065,249
76,72.31075697211156,95.69861960445671,72.31075697211156,81.28508049541848,249
77,72.31075697211156,95.69861960445671,72.31075697211156,81.28508049541848,249
78,75.89641434262948,96.3461886697362,75.89641434262948,83.70746923639868,249
79,75.89641434262948,96.3461886697362,75.89641434262948,83.70746923639868,249
80,75.89641434262948,96.3461886697362,75.89641434262948,83.70746923639868,249
81,75.4980079681275,96.33718929526711,75.4980079681275,83.44146550498817,249
82,68.92430278884463,96.19795345296953,68.92430278884463,78.89484813613117,249
83,68.92430278884463,96.19795345296953,68.92430278884463,78.89484813613117,249
84,68.92430278884463,96.19795345296953,68.92430278884463,78.89484813613117,249
85,69.7211155378486,96.51197490310082,69.7211155378486,79.44988116573617,249
86,69.32270916334662,95.90986815266169,69.32270916334662,79.19265615124723,249
87,69.32270916334662,95.90986815266169,69.32270916334662,79.19265615124723,249
88,69.32270916334662,95.90986815266169,69.32270916334662,79.19265615124723,249
89,69.32270916334662,95.90986815266169,69.32270916334662,79.19265615124723,249
90,69.52191235059762,95.91467466503089,69.52191235059762,79.33397473986169,249
91,69.52191235059762,95.91467466503089,69.52191235059762,79.33397473986169,249
92,69.52191235059762,95.91467466503089,69.52191235059762,79.33397473986169,249
93,69.52191235059762,95.91467466503089,69.52191235059762,79.33397473986169,249
94,69.52191235059762,95.91467466503089,69.52191235059762,79.33397473986169,249
95,69.32270916334662,95.90986815266169,69.32270916334662,79.19265615124723,249
96,69.12350597609563,95.9050599275086,69.12350597609563,79.05102798556915,249
